#chrom	chromStart	chromEnd	name	strand	geneId	expScores
chr1	11868	14403	DDX11L1	+	ENSG00000223972.5	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.166,0,0,0,0,
chr1	14409	29553	WASH7P	-	ENSG00000227232.5	4.064,3.371,2.686,4.048,3.901,3.64,5.164,1.438,1.693,1.566,4.992,5.721,2.483,2.147,1.686,1.748,1.539,1.442,2.73,1.742,4.439,2.494,1.679,5.629,7.098,4.648,3.595,4.326,3.117,4.103,6.134,1.52,0.925,2.771,2.215,1.765,4.508,3.527,1.417,6.685,6.634,1.808,5.425,7.083,5.933,6.133,4.194,5.926,3.062,4.703,6.273,7.19,5.745,2.647,
chr1	17368	17436	MIR6859-1	-	ENSG00000278267.1	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
chr1	29570	31109	MIR1302-2HG	+	ENSG00000243485.5	0,0,0,0,0,0,0,0,0,0.024,0,0,0.027,0.03,0,0.025,0.031,0.023,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0.018,0.018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.054,0,0,0,0,
chr1	34553	36081	FAM138A	-	ENSG00000237613.2	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
chr1	52472	53312	OR4G4P	+	ENSG00000268020.3	0,0,0.036,0,0,0,0.035,0.05,0.054,0.046,0.025,0.037,0.043,0.042,0.053,0.04,0.045,0.048,0.042,0.047,0.03,0,0,0,0.024,0.015,0.033,0.036,0,0,0,0.036,0.051,0.039,0,0.033,0,0,0.038,0,0,0,0,0.021,0.027,0,0.035,0,0.033,0,0,0,0,0,
chr1	62947	63887	OR4G11P	+	ENSG00000240361.1	0.041,0.041,0.054,0.029,0,0.039,0,0.064,0.068,0.072,0.047,0.05,0.07,0.073,0.077,0.064,0.059,0.065,0.057,0.066,0.039,0,0,0.051,0,0.043,0.045,0.041,0.023,0.043,0.036,0.06,0.073,0.058,0,0.043,0.039,0.033,0.054,0,0,0,0.029,0.042,0.043,0.042,0.04,0,0.047,0.054,0.039,0.016,0.027,0,
chr1	69090	70008	OR4F5	+	ENSG00000186092.4	0.045,0.045,0.058,0,0.041,0.044,0.044,0.079,0.077,0.083,0.06,0.058,0.084,0.074,0.103,0.083,0.081,0.099,0.071,0.073,0.046,0.031,0,0.041,0,0.045,0.05,0.048,0.038,0.049,0,0.083,0.098,0.076,0.026,0.061,0.043,0.032,0.064,0.039,0,0.025,0.037,0.043,0.049,0.046,0.043,0.036,0.054,0.039,0.049,0,0.015,0,
chr1	89294	129223	RP11-34P13.7	-	ENSG00000238009.6	0.018,0.021,0.016,0,0.008,0,0.015,0.019,0.021,0.019,0.022,0.023,0.024,0.025,0.02,0.019,0.02,0.016,0.017,0.019,0.023,0.009,0,0,0.024,0.016,0.016,0.018,0.024,0.016,0,0.016,0.016,0.017,0,0.017,0.035,0.02,0.014,0.019,0.03,0.015,0.025,0.029,0.019,0.019,0.017,0.083,0.017,0.334,0.023,0.026,0.025,0.096,
chr1	131024	134836	CICP27	+	ENSG00000233750.3	0.019,0.038,0.015,0.024,0.021,0.012,0.016,0.015,0.018,0.018,0.029,0.036,0.02,0.019,0.014,0.024,0.022,0.015,0.024,0.016,0.028,0.017,0,0.055,0.07,0.013,0.018,0.022,0.116,0.018,0.035,0.014,0.011,0.019,0.088,0.023,0.132,0.046,0.005,0.015,0.099,0.029,0.085,0.064,0.026,0.026,0.03,0.454,0.025,0.277,0.058,0.039,0.072,0.795,
