#chrom	chromStart	chromEnd	name	strand	geneName
chr1	11868	14409	ENST00000456328.2	+	DDX11L1
chr1	12009	13670	ENST00000450305.2	+	DDX11L1
chr1	14403	29570	ENST00000488147.1	-	WASH7P
chr1	17368	17436	ENST00000619216.1	-	MIR6859-1
chr1	29553	31097	ENST00000473358.1	+	MIR1302-2HG
chr1	30266	31109	ENST00000469289.1	+	MIR1302-2HG
chr1	30365	30503	ENST00000607096.1	+	MIR1302-2
chr1	34553	36081	ENST00000417324.1	-	FAM138A
chr1	35244	36073	ENST00000461467.1	-	FAM138A
chr1	52472	53312	ENST00000606857.1	+	OR4G4P
chr1	57597	64116	ENST00000642116.1	+	OR4G11P
chr1	62948	63887	ENST00000492842.2	+	OR4G11P
chr1	65418	71585	ENST00000641515.2	+	OR4F5
chr1	69054	70108	ENST00000335137.4	+	OR4F5
chr1	89294	120932	ENST00000466430.5	-	AL627309.1
chr1	89550	91105	ENST00000495576.1	-	AL627309.3
chr1	92229	129217	ENST00000477740.5	-	AL627309.1
chr1	110952	129173	ENST00000471248.1	-	AL627309.1
chr1	120724	133723	ENST00000610542.1	-	AL627309.1
chr1	129080	133566	ENST00000453576.2	-	AL627309.1
chr1	131024	134836	ENST00000442987.3	+	CICP27
chr1	135140	135895	ENST00000494149.2	-	AL627309.6
chr1	137681	137965	ENST00000595919.1	-	AL627309.7
chr1	139789	140339	ENST00000493797.1	-	AL627309.2
chr1	141473	149707	ENST00000484859.1	-	AL627309.5
chr1	142807	146831	ENST00000490997.5	-	AL627309.5
chr1	146385	173862	ENST00000466557.6	-	AL627309.5
chr1	157783	157887	ENST00000410691.1	-	RNU6-1100P
chr1	160445	161525	ENST00000496488.1	+	AL627309.4
chr1	165490	169210	ENST00000662089.1	-	AL627309.5
chr1	165888	168767	ENST00000491962.1	-	AL627309.5
chr1	167128	169240	ENST00000655252.1	-	AL627309.5
chr1	182695	184174	ENST00000624431.2	+	FO538757.1
chr1	185216	195411	ENST00000623083.4	-	WASH9P
chr1	187890	187958	ENST00000612080.1	-	MIR6859-2
chr1	257863	264733	ENST00000442116.1	-	AP006222.1
chr1	257912	268816	ENST00000448958.2	-	AP006222.1
chr1	258143	359681	ENST00000441866.2	-	AP006222.1
chr1	258523	268816	ENST00000634344.2	-	AP006222.1
chr1	258567	259024	ENST00000450734.1	-	AP006222.1
chr1	263014	297502	ENST00000424587.7	-	AP006222.1
chr1	266854	268655	ENST00000669836.1	+	AP006222.2
chr1	347981	348366	ENST00000458203.2	-	RPL23AP24
chr1	358856	365704	ENST00000450983.1	+	AL732372.1
chr1	358871	365510	ENST00000412666.1	+	AL732372.1
chr1	360056	366052	ENST00000635159.1	+	AL732372.1
chr1	365388	366151	ENST00000431321.2	-	AL732372.2
chr1	365394	368450	ENST00000453935.1	-	AL732372.2
chr1	365614	379972	ENST00000440163.1	-	AL732372.2
chr1	373181	485208	ENST00000455207.5	-	AL732372.2
chr1	439869	440232	ENST00000437905.2	+	WBP1LP7
chr1	450702	451697	ENST00000426406.3	-	OR4F29
chr1	476363	497259	ENST00000455464.7	-	AL732372.2
chr1	484831	495476	ENST00000601814.5	-	AL732372.2
chr1	485025	485208	ENST00000445840.2	-	AL732372.2
chr1	485065	489553	ENST00000431812.1	-	AL732372.2
chr1	487100	489906	ENST00000432723.3	+	CICP7
chr1	491224	493241	ENST00000514436.1	-	AL732372.3
chr1	494381	496605	ENST00000419160.4	-	AL732372.2
chr1	494463	502508	ENST00000440038.7	-	AL732372.2
chr1	494474	495368	ENST00000642074.1	-	AL732372.2
chr1	494610	499175	ENST00000423728.6	-	AL732372.2
chr1	494770	498976	ENST00000616311.5	-	AL732372.2
chr1	497133	498456	ENST00000599771.6	-	AL732372.2
chr1	497204	502598	ENST00000641845.1	-	AL732372.2
